municipio,estado,bioma,latitude,longitude,municipio_y,probabilidade,semana,precipitacao_total,dias_sem_chuva_max
SÃO JOÃO DO IVAÍ,PARANÁ,Mata Atlântica,-23.973,-51.7292,3678,0.99131995,25,23.982197498967764,4.0
SÃO JOÃO DO JAGUARIBE,CEARÁ,Caatinga,-5.2890266666666665,-38.282273333333336,3679,0.97159576,25,41.53943532322551,23.833333333333332
SÃO JOÃO DO MANHUAÇU,MINAS GERAIS,Mata Atlântica,-20.33848,-42.14926,3680,0.96338284,25,37.50940632799794,5.5
SÃO JOÃO DO PACUÍ,MINAS GERAIS,Cerrado,-16.54551,-44.59879,3681,0.9753355,25,35.48924149770288,61.0
SÃO JOÃO DO PARAÍSO,MARANHÃO,Cerrado,-6.472464,-46.933768183333335,3682,0.98621607,25,28.046297811973595,13.685483870967742
SÃO JOÃO DO PARAÍSO,MINAS GERAIS,Mata Atlântica,-15.339317999999999,-41.95606866666667,3682,0.98621607,25,28.046297811973595,13.685483870967742
SÃO JOÃO DO PIAUÍ,PIAUÍ,Caatinga,-8.270980833333333,-42.3503275,3683,0.98360485,25,29.658980316140664,18.5
SÃO JOÃO DO RIO DO PEIXE,PARAÍBA,Caatinga,-6.783177,-38.40747,3684,0.9787209,25,34.2251481307175,14.625
SÃO JOÃO DO SABUGI,RIO GRANDE DO NORTE,Caatinga,-6.660655,-37.18714,3685,0.9926029,25,23.516965153815946,5.25
SÃO JOÃO DO SOTER,MARANHÃO,Cerrado,-5.0354081,-43.76253915625,3686,0.9900135,25,30.61804704155791,8.966386554621849
SÃO JOÃO DO SUL,SANTA CATARINA,Mata Atlântica,-29.25824,-49.79968,3687,0.0024665347,25,26.78636726384513,2.0
SÃO JOÃO DO TRIUNFO,PARANÁ,Mata Atlântica,-25.654700000000002,-50.255046666666665,3688,0.99999857,25,16.611654617210714,3.5
SÃO JOÃO DOS PATOS,MARANHÃO,Caatinga,-6.785453333333333,-43.45272666666667,3689,0.98955613,25,26.35417628022119,19.30952380952381
SÃO JOÃO DOS PATOS,MARANHÃO,Cerrado,-6.509978405797102,-43.67235145652174,3689,0.98955613,25,26.35417628022119,19.30952380952381
SÃO JULIÃO,PIAUÍ,Caatinga,-7.08673,-40.82883,3690,0.9816476,25,22.88228297850337,3.3333333333333335
SÃO LEOPOLDO,RIO GRANDE DO SUL,Pampa,-29.77845,-51.17961,3691,0.9999988,25,14.432255359289584,3.0
SÃO LOURENÇO,MINAS GERAIS,Mata Atlântica,-22.12481,-45.02896,3692,0.9868052,25,33.33311943857876,8.5
SÃO LOURENÇO DA MATA,PERNAMBUCO,Mata Atlântica,-8.039691999999999,-35.122298,3693,0.98190683,25,36.29297744402945,18.2
SÃO LOURENÇO DA SERRA,SÃO PAULO,Mata Atlântica,-23.84844,-46.930234999999996,3694,0.97880596,25,31.317472311566657,3.0
SÃO LOURENÇO DO OESTE,SANTA CATARINA,Mata Atlântica,-26.52177,-52.91636,3695,0.00085430813,25,29.661694425625775,2.0
SÃO LOURENÇO DO PIAUÍ,PIAUÍ,Caatinga,-9.18124,-42.53403,3696,0.98645175,25,31.35588261796033,3.5
SÃO LOURENÇO DO SUL,RIO GRANDE DO SUL,Pampa,-31.17589,-52.23183333333333,3697,0.00267927,25,26.883153422028638,2.3333333333333335
